src/services/chatbot/nexoraKnowledge.ts(245,1): error TS1434: Unexpected keyword or identifier.
src/services/chatbot/nexoraKnowledge.ts(246,10): error TS1005: ';' expected.
src/services/chatbot/nexoraKnowledge.ts(246,32): error TS1005: ';' expected.
src/services/chatbot/nexoraKnowledge.ts(247,12): error TS1005: ';' expected.
src/services/chatbot/nexoraKnowledge.ts(247,22): error TS1434: Unexpected keyword or identifier.
src/services/chatbot/nexoraKnowledge.ts(247,28): error TS1434: Unexpected keyword or identifier.
src/services/chatbot/nexoraKnowledge.ts(247,33): error TS1434: Unexpected keyword or identifier.
src/services/chatbot/nexoraKnowledge.ts(247,56): error TS1005: ';' expected.
src/services/chatbot/nexoraKnowledge.ts(248,14): error TS1005: ';' expected.
src/services/chatbot/nexoraKnowledge.ts(248,20): error TS1434: Unexpected keyword or identifier.
src/services/chatbot/nexoraKnowledge.ts(248,39): error TS1005: ';' expected.
src/services/chatbot/nexoraKnowledge.ts(248,81): error TS1005: ';' expected.
src/services/chatbot/nexoraKnowledge.ts(248,103): error TS1005: ';' expected.
src/services/chatbot/nexoraKnowledge.ts(248,113): error TS1434: Unexpected keyword or identifier.
src/services/chatbot/nexoraKnowledge.ts(249,24): error TS1005: ';' expected.
src/services/chatbot/nexoraKnowledge.ts(250,35): error TS1005: ';' expected.
src/services/chatbot/nexoraKnowledge.ts(250,40): error TS1434: Unexpected keyword or identifier.
src/services/chatbot/nexoraKnowledge.ts(250,46): error TS1434: Unexpected keyword or identifier.
src/services/chatbot/nexoraKnowledge.ts(250,52): error TS1434: Unexpected keyword or identifier.
src/services/chatbot/nexoraKnowledge.ts(250,60): error TS1434: Unexpected keyword or identifier.
